pmid,pubtype,citation_count,percentile_rank_dummy_data,cover_date,category,first_or_last_author,title,publication_name,pages,volume,issue,nlmabbreviation,scopus_doc_id,authors
6793587,Comparative Study|Journal Article,28,55,12/1/1986,CELL BIOLOGY,0,Reassembled model lipoproteins. Lipid dynamics in recombinants of human apolipoprotein A-II and dimyristoylphosphatidylcholine,Journal of Biological Chemistry,15A-26A,110,1 SUPPL.,J Biol Chem,19775449,Kuksis A|Myher JJ|Geher K|Jones GJL|Shepherd J|Packard CJ|Morrisett JD|Taunton OD|Gotto AM
332407,Journal Article,52,90,1/1/1985,CELL BIOLOGY,1,Apolipoprotein B retention in the grossly normal and atherosclerotic human aorta,Circulation Research,48-55,80,2 SUPPL. 1,Circ Res,17665093,Ghiselli G|Rohde MF|Tanenbaum S|Krishnan S|Gotto AM
7407213,Journal Article,52,35,1/1/1985,BIOCHEMISTRY & MOLECULAR BIOLOGY,0,Stimulation and suppression of 3-hydroxy-3-methylglutaryl coenzyme A reductase in normal human fibroblasts by high density lipoprotein subclasses,Biochimica et Biophysica Acta,1241-6,275,2,Biochim Biophys Acta,19308923,Gotto AM
3767953,Journal Article,14,61,1/1/1985,NEUROSCIENCES,1,The helical hydrophobic moment avoids prolines in phospholipid-binding proteins,Biochemical and Biophysical Research Communications,708-17,14,5,Biochem Biophys Res Commun,22499432,Fruchart JC|Brewer HB|Leitersdorf E|Assmann G|Brochier M|Brown G|Calvo C|Carmena R|Ceska R|Loy-Soong WC|Davignon J|Gotto A|Grundy S|Hamsten A|Keech A|Matsuzawa Y|Patch JR|Paoletti R|Raslova K|Smirnov V|Steiner G|Thompson G|Zhu JR
6613862,Journal Article,14,65,1/1/1985,BIOCHEMISTRY & MOLECULAR BIOLOGY,1,High-density lipoproteins: Biochemical and metabolic factors,The American Journal of Cardiology,3448-53,255,8,Am J Cardiol,20528960,Gotto AM
2675213,Journal Article,3,18,1/1/1984,NEUROSCIENCES,0,The HDL profile in 1988 | PERFIL DEL COLESTEROL HDL EN 1988,Revista Clinica Espanola,249-59,34,2,Rev Clin Esp,24847243,Ogilvie JT|Mishkel NR|Mishkel MA|Welch VE|Insull W|Probstfield JL|Gotto AM
4347238,Journal Article,25,78,1/1/1984,CELL BIOLOGY,1,A study of the cystine-containing apolipoprotein of human plasma high density lipoproteins: Characterization of cyanogen bromide and tryptic fragments,BBA - Protein Structure,872-7,141,6,Biochim Biophys Acta,15527734,Gotto AM|Pownall HJ|Havel RJ
22697388,Journal Article,5,28,1/1/1984,MULTIDISCIPLINARY SCIENCES,1,Recent clinical studies of the effects of lipid-modifying therapies,American Journal of Cardiology,2629-32,260,5,Am J Cardiol,84862239765,Mantulin WW|Massey JB|Gotto AM|Pownall HJ
1633527,Journal Article,25,76,1/1/1984,PHYSIOLOGY,0,Cholesterol and total mortality: Need for larger trials [1],British Medical Journal,1399-410,152,7,,26628830,Chen SH|Yang CY|Chen PF|Setzer D|Tanimura M|Li WH|Gotto AM|Chan L
4358608,Journal Article|Review,3,22,3/3/1980,NEUROSCIENCES,1,"Human high density lipoprotein, apolipoprotein glutamine II. The immunochemical and lipid binding properties of apolipoprotein glutamine II derivatives",Journal of Biological Chemistry,876-81,88,8,J Biol Chem,15835494,Sparrow JT|Gotto AM|Morrisett JD
12667426,Journal Article,78,81,12/1/1979,NEUROSCIENCES,0,Targeting CD36: Modulating inflammation and atherogenesis,Current Atherosclerosis Reports,8E-14E,85,12 SUPPL. 1,Curr Atheroscler Rep,42698367,Gotto AM
16982952,Journal Article,12,41,5/18/1979,NEUROSCIENCES,0,The argument against the appropriateness of over-the-counter statins,Circulation,1183-8,17,7,Circulation,33748750534,Mulshine JL|Smith RA|Field JK|Hirsch FR|Gotto A|Mitchell M|Henschke CI|Libby DM|McCauley D|Miettinen OS|Mushlin A|Pasmantier MW|Smith JP|Vazquez M|Yankelevitz DF|Austin JHM|Heelan R|Khan A|Klippenstein D|Kopel S|Matalon TAS|Mendelson DS|Rifkin M|Shah RD|Wiernik PH|Schwartz L|Woloshin S|Welch HG|Berlin NI
225633,Journal Article,12,45,1/1/1979,MULTIDISCIPLINARY SCIENCES,1,Cholesteryl ester and triacylglycerol fatty acids in type V hyperlipidemia,Lipids,478-9,4,9,Lipids,18647743,Massey JB|Gotto AM|Pownall HJ
2203246,Journal Article,64,74,12/1/1978,BIOCHEMISTRY & MOLECULAR BIOLOGY,0,Interrelationship of triglycerides with lipoproteins and high-density lipoproteins,The American Journal of Cardiology,408-14,85,1,Am J Cardiol,25004725,Scott DW|Gotto AM|Cole JS|Gorry GA
16249304,Journal Article,48,89,12/1/1978,BIOCHEMISTRY & MOLECULAR BIOLOGY,1,Building a transcontinental affiliation: A new model for academic health centers,Academic Medicine,36S-39S,107,2 SUPPL. 1,Acad Med,27644519532,Gotto AM|Scott L
217378,Journal Article,3,5,11/30/1976,BIOLOGY,0,Lipoprotein-apoprotein exchange in aqueous systems: Relevance to the occurrence of APOA-I and APOC proteins in a common particle,Biochemical and Biophysical Research Communications,20A-23A,66,6,Biochem Biophys Res Commun,18115744,Shepherd J|Packard CJ|Patsch JR|Gotto AM|Taunton OD
