pmid,pubtype,citation_count,percentile_rank_dummy_data,cover_date,category,first_or_last_author_dummy_data,title,publication_name,pages,volume,issue,nlmabbreviation,scopus_doc_id,authors
7276743,Journal Article,16,15,11/5/1998,HEMATOLOGY,1,Low density lipoproteins reconstituted with steroids containing the nitrobenzoxadiazole fluorophore.,Journal of Lipid Research,687-96,22,4,J Lipid Res,19561342,Teng B|Ishida B|Forte TM|Blumenthal S|Song LZ|Gotto AM|Chan L
221034,Journal Article,16,16,11/5/1998,IMMUNOLOGY,1,Characterization of low density lipoprotein-like particle in the human aorta from grossly normal and atherosclerotic regions,Biochimica et Biophysica Acta (BBA)/Lipids and Lipid Metabolism,361-74,573,2,Biochim Biophys Acta,18391278,Yang CY|Pownall HJ|Gotto AM
223586,Journal Article,16,13,11/5/1998,ONCOLOGY,1,Correlation in the human aorta of apo B fractions with tissue cholesterol and collagen content,Atherosclerosis,259-68,32,3,Atherosclerosis,18374584,Gu ZW|Xie YH|Yang M|Sparrow JT|Wang K|Li Y|Li WH|Gotto AM|Yang CY
1418089,Journal Article,16,13,11/5/1998,TRANSPLANTATION,1,"Effect of sucrose diet on expression of apolipoprotein genes A-I, C-III and A-IV in rat liver",Atherosclerosis,147-56,95,3,Atherosclerosis,26640875,Picardo M|Massey JB|Kuhn DE|Gotto AM|Gianturco SH|Pownall HJ
438452,"Clinical Trial|Clinical Trial, Phase I|Journal Article",22,13,7/1/1998,ONCOLOGY,1,Are low-cholesterol diets expensive?,Journal of the American Dietetic Association,558-61,74,5,J Am Diet Assoc,18476322,Vainio P|Virtanen JA|Kinnunen PKJ|Voyta JC|Smith LC|Gotto AM|Sparrow JT|Pattus F|Verger R
4319599,"Clinical Trial|Clinical Trial, Phase I|Journal Article",184,97,1/1/1998,ONCOLOGY,0,"Observations on the conformation of human serum high-density lipoproteins using infrared spectroscopy, circular dichroism, and electron spin resonance",Biochemistry,4276-83,9,22,Biochemistry,14965075,Jones PH|Gotto AM
7604793,Journal Article|Review,11,27,12/1/1997,HEMATOLOGY,0,Lipid risk factors and the regression of atherosclerosis,The American Journal of Cardiology,3A-7A,76,2,Am J Cardiol,29040062,Jackson RL|Gotto AM
2392989,Journal Article|Review,10,9,2/1/1997,ONCOLOGY,1,A symposium: The significance of high-density lipoprotein cholesterol in the prevention of coronary artery disease: Introduction,American Journal of Cardiology,1A-31A,66,6,Am J Cardiol,25126784,Vainio P|Virtanen JA|Sparrow JT|Gotto AM|Kinnunen PKJ
11079660,Journal Article|Review,10,20,2/1/1997,SURGERY,1,Apolipoprotein E genotypes and response of plasma lipids and progression-regression of coronary atherosclerosis to lipid-lowering drug therapy,Journal of the American College of Cardiology,1572-8,36,5,J Am Coll Cardiol,34332915,Barter P|Kastelein J|Nunn A|Hobbs R|Shepherd J|Ballantyne C|Brown V|Bruckert E|Carmena R|Davidson M|Davignon J|Fruchart JC|Gotto A|Genest J|Krone W|Leiter L|Olsson A|Packard C|Paoletti R|Saito Y|Tonkin A
2715730,Journal Article,18,16,11/1/1995,ONCOLOGY,1,Development and partial metabolic characterization of a dietary cholesterol-resistant colony of rabbits,Journal of Lipid Research,263-73,30,2,J Lipid Res,24593810,Kinnunen PKJ|Jackson RL|Smith LC|Gotto AM|Sparrow JT
12110843,Journal Article,5,3,7/4/1995,ONCOLOGY,1,The 9p21 susceptibility locus for coronary artery disease and the severity of coronary atherosclerosis,BMC Cardiovascular Disorders,3,9,,BMC Cardiovasc Disord,60849130127,Gotto AM J
7918467,Journal Article|Review,9,11,1/1/1995,HEMATOLOGY,0,Structure of human apolipoprotein D: Locations of the intermolecular and intramolecular disulfide links,Biochemistry,12451-5,33,41,Biochemistry,28063745,Lamon BD|Summers BD|Gotto AM|Hajjar DP
6792197,Journal Article|Review,4,3,1/1/1995,ONCOLOGY,0,Thermodynamics of lipid-protein association. The free energy of association of lecithin with reduced and carboxymethylated apolipoprotein A-II from human plasma high density lipoprotein,Journal of Biological Chemistry,9849-54,256,19,J Biol Chem,19807655,Gotto AM|Barter PJ|Rye KA
6902721,Journal Article|Review,192,80,12/1/1994,HEMATOLOGY,0,Obesity: A new approach to an old problem,Heart and Lung: Journal of Acute and Critical Care,719-25,9,4,Heart Lung,19307832,Gotto AM|Kon H
6651323,Clinical Trial|Journal Article,61,30,11/15/1994,HEMATOLOGY,1,Effects of a low cholesterol eating plan on plasma lipids: Results of a three-year community study,American Journal of Public Health,873-7,73,8,Am J Public Health,20510733,Bijsterbosch MK|Bernini F|Bakkeren HF|Gotto AM|Smith LC|Van Berkel TJC
3936545,Journal Article,0,0,1/1/1994,HEMATOLOGY,1,Lateral distribution of phospholipid and cholesterol in apolipoprotein A-I recombinants,Biochemistry,7110-6,24,25,Biochemistry,22369428,Kizer JR|Madias C|Wilner B|Vaughan CJ|Mushlin AI|Trushin P|Gotto AM|Pasternak RC
7873090,Journal Article,0,0,1/1/1994,IMMUNOLOGY,1,Antihyperlipidaemic agents: Drug interactions of clinical significance,Drug Safety,301-9,11,5,Drug Saf,28152423,Miller JP|Mao SJT|Patsch JR|Gotto AM
9125310,Journal Article,0,0,1/1/1994,ONCOLOGY,0,Effect of the apolipoprotein C-II/C-III1 ratio on the capacity of purified milk lipoprotein lipase to hydrolyse triglycerides in monolayer vesicles,Atherosclerosis,205-12,127,2,Atherosclerosis,30595992,Brown SA|Chambless LE|Sharrett AR|Gotto AM|Patsch W
7398006,Journal Article|Review,11,26,1/1/1994,ONCOLOGY,0,A new approach for evaluating risk factors in coronary artery disease: A study of lipid concentrations and severity of disease in 1847 males,Circulation,477-84,62,3,Circulation,18851899,Via DP|Plant AL|Craig IF|Gotto AM|Smith LC
12883005,Journal Article,0,0,1/1/1994,TRANSPLANTATION,1,Candidate genetic analysis of plasma high-density lipoprotein-cholesterol and severity of coronary atherosclerosis,BMC Medical Genetics,111,10,,BMC Med Genet,70749098299,Patsch JR|Prasad S|Gotto AM|Bengtsson-Olivecrona G
2373954,Journal Article|Review,3,5,12/1/1993,MULTIDISCIPLINARY SCIENCES,1,Lipid hydroperoxy and hydroxy derivatives in copper-catalyzed oxidation of low density lipoprotein,Journal of Lipid Research,1043-50,31,6,J Lipid Res,25336640,Gotto AM
10636265,Journal Article,45,43,12/1/1993,ONCOLOGY,0,Interactions between angiotensin-I converting enzyme insertion/deletion polymorphism and response of plasma lipids and coronary atherosclerosis to treatment with fluvastatin: The lipoprotein and coronary atherosclerosis study,Journal of the American College of Cardiology,89-95,35,1,J Am Coll Cardiol,33957209,Gotto AM
